IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
204.110.221.209,80,443,true,PDX,North America,Portland,197,7.82
18.236.13.188,80,443,true,SEA,North America,Seattle,196,7.80
54.194.249.156,443,443,true,AMS,Europe,Amsterdam,191,7.79
18.116.23.150,443,443,true,ORD,North America,Chicago,215,7.78
204.110.220.98,80,443,true,SEA,North America,Seattle,195,7.78
3.144.35.23,443,443,true,ORD,North America,Chicago,220,7.77
3.147.78.133,443,443,true,ORD,North America,Chicago,215,7.77
204.110.220.1,80,443,true,SEA,North America,Seattle,198,7.77
18.224.70.129,443,443,true,ORD,North America,Chicago,215,7.76
18.188.111.118,443,443,true,ORD,North America,Chicago,218,7.75
204.110.221.40,80,443,true,SEA,North America,Seattle,199,7.74
3.15.12.90,443,443,true,ORD,North America,Chicago,219,7.73
3.143.241.219,443,443,true,ORD,North America,Chicago,216,7.72
3.140.241.26,443,443,true,ORD,North America,Chicago,214,7.71
204.110.221.198,80,443,true,PDX,North America,Portland,200,7.70
204.110.220.206,443,443,true,SEA,North America,Seattle,191,7.70
34.214.113.200,443,443,true,PDX,North America,Portland,200,7.69
3.22.241.99,443,443,true,CMH,North America,Columbus,219,7.68
3.17.128.193,443,443,true,ORD,North America,Chicago,231,7.65
52.15.67.93,443,443,true,ORD,North America,Chicago,231,7.64
3.15.145.165,443,443,true,ORD,North America,Chicago,215,7.64
18.222.162.234,443,443,true,ORD,North America,Chicago,215,7.62
204.110.221.51,80,443,true,PDX,North America,Portland,200,7.62
3.14.130.152,443,443,true,ORD,North America,Chicago,217,7.60
3.68.216.137,8443,443,true,FRA,Europe,Frankfurt,171,7.58
3.23.103.62,443,443,true,ORD,North America,Chicago,215,7.57
3.16.203.113,443,443,true,ORD,North America,Chicago,219,7.57
35.95.178.68,443,443,true,SEA,North America,Seattle,200,7.54
204.110.220.11,80,443,true,SEA,North America,Seattle,199,7.52
3.140.142.249,8443,443,true,CMH,North America,Columbus,226,7.52
204.110.221.39,80,443,true,SEA,North America,Seattle,203,7.52
204.110.221.194,80,443,true,PDX,North America,Portland,205,7.51
67.226.222.123,80,443,true,CMH,North America,Columbus,219,7.50
204.110.223.65,80,443,true,CMH,North America,Columbus,215,7.50
204.110.223.114,80,443,true,CMH,North America,Columbus,216,7.50
18.218.222.145,443,443,true,ORD,North America,Chicago,218,7.50
204.110.223.160,80,443,true,CMH,North America,Columbus,219,7.49
67.226.222.2,80,443,true,CMH,North America,Columbus,220,7.49
3.17.159.116,80,443,true,CMH,North America,Columbus,215,7.49
67.226.222.194,80,443,true,CMH,North America,Columbus,215,7.48
204.110.220.133,80,443,true,PDX,North America,Portland,199,7.48
204.110.221.8,80,443,true,PDX,North America,Portland,199,7.47
3.140.142.249,2053,443,true,CMH,North America,Columbus,219,7.47
67.226.222.225,80,443,true,CMH,North America,Columbus,219,7.46
204.110.223.110,80,443,true,CMH,North America,Columbus,216,7.45
54.185.231.83,443,443,true,SEA,North America,Seattle,242,7.44
204.110.223.46,80,443,true,CMH,North America,Columbus,215,7.44
204.110.223.173,80,443,true,CMH,North America,Columbus,215,7.44
67.226.222.31,80,443,true,CMH,North America,Columbus,220,7.44
67.226.222.236,80,443,true,CMH,North America,Columbus,219,7.39
67.226.223.121,80,443,true,CMH,North America,Columbus,221,7.36
204.110.223.178,80,443,true,CMH,North America,Columbus,215,7.36
204.110.223.166,80,443,true,CMH,North America,Columbus,220,7.35
67.226.222.218,80,443,true,CMH,North America,Columbus,220,7.34
13.40.25.196,2053,443,true,LHR,Europe,London,171,7.34
